table_id,col_idx,class,class_id,data
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_2000-Neville Gadsden Bio, Stat_VQX6P3G5O6LLBJYG",0,age,3,37 37 37 37
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_2000-Neville Gadsden Bio, Stat_VQX6P3G5O6LLBJYG",1,city,12,Melbourne Melbourne Melbourne Melbourne
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_2000-Neville Gadsden Bio, Stat_VQX6P3G5O6LLBJYG",2,country,22,Australia Australia Australia Australia
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_2000-Neville Gadsden Bio, Stat_VQX6P3G5O6LLBJYG",3,rank,60,20 NP NP 4
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_798-Amzs2121's anime List - An_EDTQ2PLYUZTYT2FS,0,type,75,OVA Movie TV OVA Movie TV Movie OVA TV TV OVA TV TV TV TV TV OVA TV TV TV DVD Special DVD Special Movie TV TV TV TV TV Special Movie TV TV Special TV Special TV TV Movie Movie Movie Movie Movie Movie Movie Movie Movie Movie Movie Movie Movie OVA TV Special TV Special
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_798-Amzs2121's anime List - An_EDTQ2PLYUZTYT2FS,1,year,77,1991 2007 2005 2004 1988 2010 2004 2002 2007 2010 2003 1997 2006 2004 1999 2007 2001 2008 2007 2008 2009 2008 2007 2007 2006 2001 1998 1998 2001 2006 2007 2008 1986 1989 1989 1990 1990 1991 1991 1992 1992 1993 1993 1994 1994 1995 1995 1993 1990 1993
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00118-ip-10-236-191-2.ec2.internal.json.gz_798-Amzs2121's anime List - An_EDTQ2PLYUZTYT2FS,2,status,71,Want to Watch Watched Want to Watch Want to Watch Watched Watched Watched Want to Watch Want to Watch Watching Want to Watch Want to Watch Want to Watch Watching Want to Watch Want to Watch Watched Watched Watching Want to Watch Want to Watch Want to Watch Want to Watch Want to Watch Want to Watch Want to Watch Watching Want to Watch Want to Watch Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00315-ip-10-236-191-2.ec2.internal.json.gz_836-andyasian's anime List - A_7HUCPV3R6CIZLREN,0,type,75,TV Movie TV TV TV TV TV OVA TV OVA TV TV TV TV TV TV Movie Movie OVA TV Movie TV TV TV TV TV TV TV Movie TV TV TV TV Movie Movie Movie Movie Movie Movie Movie Movie Movie TV Movie TV TV Movie OVA OVA TV
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00315-ip-10-236-191-2.ec2.internal.json.gz_836-andyasian's anime List - A_7HUCPV3R6CIZLREN,1,year,77,2005 2005 2005 2006 2001 1996 2004 2005 2005 1989 1999 2003 2007 2004 2006 1998 1999 2000 1996 1998 2001 2001 2003 2007 2004 2006 1996 2007 2002 1999 2003 1986 1989 1989 1990 1990 1991 1991 1992 1992 1993 1993 2005 1994 2006 2001 2005 2005 2000 2001
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00315-ip-10-236-191-2.ec2.internal.json.gz_836-andyasian's anime List - A_7HUCPV3R6CIZLREN,2,status,71,Watched Watched Watched Watched Watched Watched Watching Watched Watched Watched Watched Watched Watching Want to Watch Want to Watch Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watching Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched
